id;name;weght;code;image
1;International;9638;Accounts Integration bandwidth-monitored;synthesizing
2;Ergonomic;20071;Table green;Valleys Practical Specialist
3;invoice foreground leverage;68692;Gorgeous Handmade Bangladesh;bottom-line generating
4;Personal Developer;74575;Tennessee transmitter mesh;scalable
5;Kids;76638;coherent Tasty Director;attitude-oriented
6;Concrete Accounts;82113;auxiliary;uniform out-of-the-box
7;forecast Communications;32703;Response;model
8;International quantifying Oklahoma;8274;supply-chains;Forward
9;USB;15753;frictionless;Minnesota
10;compressing panel card;51813;Metal Crossing;Incredible
